Date,Open,High,Low,Close,VolumeFrom,VolumeTo,price_change,abs_price_change
2023-06-12,25937.58,26099.5,25629.48,25905.64,17060.82,441188405.58,-0.0012314178886388971,0.0012314178886388971
2023-06-13,25905.64,26425.22,25717.6,25928.94,23047.35,599487905.69,0.0008994180417853936,0.0008994180417853936
2023-06-14,25928.94,26074.14,24836.48,25125.73,26761.01,684056303.1,-0.03097735580397809,0.03097735580397809
2023-06-15,25125.73,25740.96,24765.75,25574.36,32804.74,824201465.11,0.01785540161420185,0.01785540161420185
2023-06-16,25574.36,26479.27,25205.5,26330.59,27648.16,715401866.52,0.0295698504283195,0.0295698504283195
2023-06-17,26330.59,26780.79,26170.91,26510.43,12515.48,331591669.75,0.0068300786271784375,0.0068300786271784375
2023-06-18,26510.43,26686.77,26260.74,26338.0,9378.95,248624880.04,-0.006504232485101125,0.006504232485101125
2023-06-19,26338.0,27036.32,26265.34,26842.09,17956.62,477713441.96,0.019139266459108573,0.019139266459108573
2023-06-20,26842.09,28407.13,26648.29,28319.35,45985.63,1265530107.38,0.055035207765118166,0.055035207765118166
2023-06-21,28319.35,30780.84,28276.59,30000.55,57981.94,1710075101.48,0.05936576934145732,0.05936576934145732
2023-06-22,30000.55,30499.85,29611.53,29892.81,34380.15,1034077333.64,-0.0035912674934291955,0.0035912674934291955
2023-06-23,29892.81,31416.26,29818.21,30705.39,41294.22,1263857697.39,0.027183125306720957,0.027183125306720957
2023-06-24,30705.39,30811.37,30276.97,30548.2,13046.45,399256498.04,-0.005119296644660709,0.005119296644660709
2023-06-25,30548.2,31051.66,30297.61,30473.64,13393.19,410384145.76,-0.00244073300554537,0.00244073300554537
2023-06-26,30473.64,30658.58,29930.89,30271.91,21681.68,656487409.95,-0.0066198196211545435,0.0066198196211545435
2023-06-27,30271.91,31013.13,30232.66,30696.99,22312.5,683163079.08,0.014042060775154352,0.014042060775154352
2023-06-28,30696.99,30714.46,29862.15,30078.9,19096.02,577536151.3,-0.020135198923412312,0.020135198923412312
2023-06-29,30078.9,30833.99,30043.07,30447.17,21447.12,654120553.86,0.0122434663501656,0.0122434663501656
2023-06-30,30447.17,31272.25,29465.7,30471.06,47299.15,1438707503.25,0.0007846377840701191,0.0007846377840701191
2023-07-01,30471.06,30653.27,30321.27,30590.76,7261.71,221634243.18,0.003928317557708727,0.003928317557708727
2023-07-02,30590.76,30788.75,30181.34,30617.66,8660.66,264438993.35,0.0008793504966859711,0.0008793504966859711
2023-07-03,30617.66,31388.17,30575.7,31160.24,19619.43,606995802.76,0.017721145247546755,0.017721145247546755
2023-07-04,31160.24,31331.3,30638.68,30774.39,13276.48,411450957.26,-0.012382767270085249,0.012382767270085249
2023-07-05,30774.39,30877.17,30201.06,30503.07,15878.7,484235780.2,-0.00881642170649033,0.00881642170649033
2023-07-06,30503.07,31521.11,29869.18,29907.98,30802.77,942103548.67,-0.019509183829693244,0.019509183829693244
2023-07-07,29907.98,30450.48,29725.12,30349.69,19368.34,584908167.72,0.014768968014556627,0.014768968014556627
2023-07-08,30349.69,30383.67,30056.18,30294.36,6360.91,192238272.3,-0.0018230828716866432,0.0018230828716866432
2023-07-09,30294.36,30441.0,30074.68,30171.49,7139.62,216124236.01,-0.004055870465657585,0.004055870465657585
2023-07-10,30171.49,31045.4,29964.03,30421.04,22193.83,674592681.26,0.0082710532360184,0.0082710532360184
2023-07-11,30421.04,30805.91,30314.1,30626.62,17665.77,539220942.45,0.006757822875220532,0.006757822875220532
2023-07-12,30626.62,30977.57,30214.19,30385.22,24693.12,755704294.14,-0.007882032036182873,0.007882032036182873
2023-07-13,30385.22,31844.94,30259.09,31475.78,42344.72,1314075890.88,0.0358911339131327,0.0358911339131327
2023-07-14,31475.78,31636.78,29929.3,30331.09,33129.0,1021600213.08,-0.036367327513408654,0.036367327513408654
2023-07-15,30331.09,30403.12,30258.91,30298.45,4925.15,149344124.18,-0.001076123541883911,0.001076123541883911
2023-07-16,30298.45,30450.66,30083.92,30248.17,7411.25,224532522.64,-0.001659490832039312,0.001659490832039312
2023-07-17,30248.17,30340.04,29675.15,30147.68,18560.1,558752237.54,-0.003322184449505494,0.003322184449505494
2023-07-18,30147.68,30244.13,29538.16,29863.79,18759.37,560798877.42,-0.00941664499556849,0.00941664499556849
2023-07-19,29863.79,30193.82,29765.06,29918.6,14893.37,446435257.92,0.00183533302370531,0.00183533302370531
2023-07-20,29918.6,30417.9,29577.88,29809.61,19269.41,577250260.25,-0.0036428843595621707,0.0036428843595621707
2023-07-21,29809.61,30060.04,29737.09,29911.46,13254.74,395907301.04,0.0034166834118258826,0.0034166834118258826
2023-07-22,29911.46,30000.3,29635.44,29791.61,6111.68,182484169.27,-0.00400682547759279,0.00400682547759279
2023-07-23,29791.61,30345.9,29738.58,30085.68,8140.53,244328645.64,0.009870899894299123,0.009870899894299123
2023-07-24,30085.68,30097.78,28860.94,29181.04,25436.68,744538575.95,-0.03006879020185016,0.03006879020185016
2023-07-25,29181.04,29367.59,29054.49,29226.63,12141.51,354541899.17,0.0015623158050570574,0.0015623158050570574
2023-07-26,29226.63,29682.98,29098.81,29352.06,16583.36,486510821.91,0.004291634033756209,0.004291634033756209
2023-07-27,29352.06,29566.99,29082.04,29217.05,12727.55,373268935.18,-0.004599677160649129,0.004599677160649129
2023-07-28,29217.05,29528.45,29121.24,29316.82,11707.43,342975082.63,0.0034147869138054787,0.0034147869138054787
2023-07-29,29316.82,29406.57,29258.14,29358.76,4989.17,146316009.97,0.001430578077704192,0.001430578077704192
2023-07-30,29358.76,29449.84,29043.43,29283.34,7661.41,224246250.77,-0.002568909586099677,0.002568909586099677
2023-07-31,29283.34,29524.99,29108.82,29231.47,14553.25,426457343.16,-0.0017713143377769969,0.0017713143377769969
2023-08-01,29231.47,29721.48,28564.09,29699.74,28319.33,822433494.24,0.01601937911435858,0.01601937911435858
2023-08-02,29699.74,30029.06,28914.46,29163.69,28507.89,838251477.68,-0.018048979553356492,0.018048979553356492
2023-08-03,29163.69,29397.03,28945.61,29177.75,15427.08,450334651.17,0.0004821063452533636,0.0004821063452533636
